<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.29	00:00:00	0.89562	0.89562	0.89415	0.89494	128	0	50
2025.07.29	00:20:00	0.89493	0.89504	0.89479	0.89502	213	0	60
2025.07.29	00:40:00	0.89502	0.89572	0.89498	0.89567	371	0	56
2025.07.29	01:00:00	0.89567	0.89590	0.89549	0.89571	173	0	32
2025.07.29	01:20:00	0.89571	0.89598	0.89567	0.89578	212	0	29
2025.07.29	01:40:00	0.89582	0.89611	0.89575	0.89609	173	0	29
2025.07.29	02:00:00	0.89612	0.89620	0.89583	0.89586	160	0	29
2025.07.29	02:20:00	0.89586	0.89588	0.89564	0.89575	138	0	29
2025.07.29	02:40:00	0.89576	0.89576	0.89549	0.89559	206	0	29
2025.07.29	03:00:00	0.89559	0.89560	0.89518	0.89522	394	0	29
2025.07.29	03:20:00	0.89522	0.89529	0.89465	0.89474	338	0	29
2025.07.29	03:40:00	0.89474	0.89493	0.89462	0.89491	343	0	29
2025.07.29	04:00:00	0.89492	0.89593	0.89486	0.89590	344	0	29
2025.07.29	04:20:00	0.89590	0.89604	0.89569	0.89600	363	0	29
2025.07.29	04:40:00	0.89600	0.89617	0.89562	0.89577	301	0	29
2025.07.29	05:00:00	0.89577	0.89630	0.89561	0.89599	320	0	29
2025.07.29	05:20:00	0.89599	0.89605	0.89573	0.89602	319	0	29
2025.07.29	05:40:00	0.89602	0.89647	0.89601	0.89626	345	0	29
2025.07.29	06:00:00	0.89626	0.89635	0.89590	0.89599	381	0	29
2025.07.29	06:20:00	0.89599	0.89604	0.89533	0.89542	352	0	29
2025.07.29	06:40:00	0.89545	0.89561	0.89524	0.89557	254	0	29
2025.07.29	07:00:00	0.89555	0.89587	0.89550	0.89550	261	0	29
2025.07.29	07:20:00	0.89550	0.89576	0.89522	0.89540	235	0	29
2025.07.29	07:40:00	0.89540	0.89589	0.89539	0.89562	312	0	29
2025.07.29	08:00:00	0.89561	0.89596	0.89543	0.89582	285	0	29
2025.07.29	08:20:00	0.89582	0.89587	0.89564	0.89578	306	0	29
2025.07.29	08:40:00	0.89578	0.89614	0.89570	0.89593	271	0	29
2025.07.29	09:00:00	0.89599	0.89650	0.89580	0.89633	490	0	29
2025.07.29	09:20:00	0.89633	0.89646	0.89468	0.89498	734	0	29
2025.07.29	09:40:00	0.89498	0.89501	0.89417	0.89429	946	0	29
2025.07.29	10:00:00	0.89429	0.89458	0.89367	0.89451	1056	0	29
2025.07.29	10:20:00	0.89450	0.89478	0.89403	0.89429	967	0	29
2025.07.29	10:40:00	0.89429	0.89465	0.89407	0.89452	618	0	29
2025.07.29	11:00:00	0.89450	0.89523	0.89420	0.89519	685	0	29
2025.07.29	11:20:00	0.89518	0.89518	0.89471	0.89503	578	0	29
2025.07.29	11:40:00	0.89503	0.89530	0.89495	0.89519	506	0	29
